cpt,used_in,classification,active_years_in_cms_rvu,status_note
51715,P01;P03,SUI;bulking,2014-2024,Active in every study-year file
51840,P01,SUI,2014-2024,Active in every study-year file
51841,P01,SUI,2014-2024,Active in every study-year file
51845,P01,SUI,2014-2024,Active in every study-year file
51990,P01,SUI,2014-2024,Active in every study-year file
51992,P01,SUI,2014-2024,Active in every study-year file
57220,P01,SUI,2014-2024,Active in every study-year file
57288,P01;P03,SUI;sling,2014-2024,Active in every study-year file
57289,P01,SUI,2014-2024,Active in every study-year file
58152,P01,SUI,2014-2024,Active in every study-year file
58267,P01,SUI,2014-2024,Active in every study-year file
58293,P01,SUI,2014-2020,Absent from 2021-2024 files
56810,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57106,P01;P02,POP;obliterative,2014-2024,Active in every study-year file
57107,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57109,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57110,P01;P02,POP;obliterative,2014-2024,Active in every study-year file
57111,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57112,P01;P02,POP;reconstructive,2014-2020,Absent from 2021-2024 files
57120,P01;P02,POP;obliterative,2014-2024,Active in every study-year file
57200,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57210,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57230,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57240,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57250,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57260,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57265,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57267,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57268,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57270,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57280,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57282,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57283,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57284,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57285,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57423,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
57425,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
58400,P01;P02,POP;reconstructive,2014-2024,Active in every study-year file
58275,P02,obliterative,2014-2024,Active in every study-year file
58280,P02,obliterative,2014-2024,Active in every study-year file
